cx	cy	cz	q_scalar	q_x	q_y	q_z
-10.785836	-0.535520	0.107122	0.235996	-0.057087	-0.860395	0.448072
-10.785636	-0.536020	0.107222	0.237248	-0.056141	-0.859557	0.449136
-10.785436	-0.536521	0.107322	0.238497	-0.055192	-0.858716	0.450199
-10.785236	-0.537021	0.107422	0.239743	-0.054239	-0.857872	0.451262
-10.785036	-0.537521	0.107522	0.240985	-0.053283	-0.857024	0.452324
-10.784836	-0.538021	0.107622	0.242224	-0.052323	-0.856172	0.453386
-10.784636	-0.538521	0.107722	0.243460	-0.051360	-0.855317	0.454447
-10.784436	-0.539021	0.107822	0.244692	-0.050394	-0.854458	0.455508
-10.784236	-0.539521	0.107922	0.245921	-0.049424	-0.853596	0.456568
-10.784036	-0.540021	0.108022	0.247146	-0.048451	-0.852730	0.457627
-10.783836	-0.540521	0.108122	0.248368	-0.047474	-0.851861	0.458686
-10.783636	-0.541021	0.108222	0.249587	-0.046494	-0.850988	0.459744
-10.783436	-0.541521	0.108322	0.250802	-0.045510	-0.850111	0.460801
-10.783236	-0.542021	0.108422	0.252014	-0.044523	-0.849231	0.461858
-10.783036	-0.542521	0.108522	0.253222	-0.043533	-0.848348	0.462914
-10.782836	-0.543021	0.108622	0.254427	-0.042539	-0.847461	0.463969
-10.782636	-0.543521	0.108722	0.255628	-0.041541	-0.846570	0.465024
-10.782436	-0.544021	0.108822	0.256826	-0.040540	-0.845676	0.466077
-10.782236	-0.544521	0.108922	0.258020	-0.039536	-0.844779	0.467130
-10.782036	-0.545021	0.109022	0.259211	-0.038529	-0.843878	0.468183
-10.781836	-0.545521	0.109122	0.260398	-0.037518	-0.842974	0.469234
-10.781636	-0.546021	0.109222	0.261582	-0.036503	-0.842066	0.470284
-10.781436	-0.546521	0.109322	0.262762	-0.035485	-0.841155	0.471334
-10.781236	-0.547021	0.109422	0.263939	-0.034464	-0.840240	0.472383
-10.781036	-0.547521	0.109522	0.265112	-0.033439	-0.839322	0.473430
-10.780836	-0.548021	0.109622	0.266281	-0.032411	-0.838400	0.474477
-10.780636	-0.548522	0.109722	0.267447	-0.031379	-0.837475	0.475523
-10.780436	-0.549022	0.109822	0.268609	-0.030344	-0.836547	0.476568
-10.780236	-0.549522	0.109922	0.269767	-0.029306	-0.835615	0.477613
-10.780036	-0.550022	0.110022	0.270922	-0.028264	-0.834680	0.478656
-10.779836	-0.550522	0.110122	0.272073	-0.027219	-0.833742	0.479698
-10.779636	-0.551022	0.110222	0.273221	-0.026170	-0.832800	0.480739
-10.779436	-0.551522	0.110322	0.274365	-0.025118	-0.831854	0.481779
-10.779236	-0.552022	0.110422	0.275505	-0.024062	-0.830906	0.482818
-10.779036	-0.552522	0.110522	0.276642	-0.023004	-0.829954	0.483856
-10.778836	-0.553022	0.110622	0.277774	-0.021941	-0.828999	0.484893
-10.778636	-0.553522	0.110722	0.278903	-0.020876	-0.828040	0.485929
-10.778436	-0.554022	0.110822	0.280029	-0.019807	-0.827078	0.486964
-10.778236	-0.554522	0.110923	0.281150	-0.018734	-0.826113	0.487997
-10.778036	-0.555022	0.111023	0.282268	-0.017659	-0.825144	0.489030
-10.777836	-0.555522	0.111123	0.283382	-0.016580	-0.824172	0.490061
-10.777636	-0.556022	0.111223	0.284492	-0.015497	-0.823197	0.491091
-10.777436	-0.556522	0.111323	0.285599	-0.014411	-0.822219	0.492120
-10.777236	-0.557022	0.111423	0.286702	-0.013322	-0.821237	0.493148
-10.777036	-0.557522	0.111523	0.287800	-0.012229	-0.820252	0.494174
-10.776836	-0.558022	0.111623	0.288895	-0.011134	-0.819264	0.495199
-10.776636	-0.558522	0.111723	0.289986	-0.010034	-0.818272	0.496223
-10.776436	-0.559022	0.111823	0.291074	-0.008932	-0.817278	0.497246
-10.776236	-0.559522	0.111923	0.292157	-0.007826	-0.816280	0.498267
-10.776036	-0.560023	0.112023	0.293237	-0.006716	-0.815279	0.499287
-10.775836	-0.560523	0.112123	0.294312	-0.005604	-0.814275	0.500306
-10.775636	-0.561023	0.112223	0.295384	-0.004488	-0.813267	0.501323
-10.775436	-0.561523	0.112323	0.296452	-0.003368	-0.812256	0.502339
-10.775236	-0.562023	0.112423	0.297516	-0.002246	-0.811243	0.503353
-10.775036	-0.562523	0.112523	0.298576	-0.001120	-0.810226	0.504366
-10.774836	-0.563023	0.112623	0.299632	0.000010	-0.809206	0.505378
-10.774636	-0.563523	0.112723	0.300684	0.001142	-0.808182	0.506388
-10.774436	-0.564023	0.112823	0.301733	0.002278	-0.807156	0.507397
-10.774236	-0.564523	0.112923	0.302777	0.003417	-0.806126	0.508404
-10.774036	-0.565023	0.113023	0.303817	0.004560	-0.805094	0.509410
-10.773836	-0.565523	0.113123	0.304853	0.005705	-0.804058	0.510414
-10.773636	-0.566023	0.113223	0.305885	0.006854	-0.803019	0.511417
-10.773436	-0.566523	0.113323	0.306914	0.008007	-0.801978	0.512418
-10.773236	-0.567023	0.113423	0.307938	0.009162	-0.800933	0.513417
-10.773036	-0.567523	0.113523	0.308958	0.010321	-0.799885	0.514415
-10.772836	-0.568023	0.113623	0.309974	0.011483	-0.798834	0.515411
-10.772636	-0.568523	0.113723	0.310986	0.012649	-0.797780	0.516406
-10.772436	-0.569023	0.113823	0.311994	0.013817	-0.796723	0.517399
-10.772236	-0.569523	0.113923	0.312998	0.014989	-0.795662	0.518391
-10.772036	-0.570023	0.114023	0.313998	0.016164	-0.794599	0.519380
-10.771836	-0.570523	0.114123	0.314994	0.017343	-0.793533	0.520368
-10.771636	-0.571023	0.114223	0.315985	0.018524	-0.792464	0.521354
-10.771436	-0.571524	0.114323	0.316973	0.019709	-0.791392	0.522339
-10.771236	-0.572024	0.114423	0.317956	0.020897	-0.790317	0.523322
-10.771036	-0.572524	0.114523	0.318936	0.022089	-0.789239	0.524303
-10.770836	-0.573024	0.114623	0.319911	0.023283	-0.788159	0.525282
-10.770636	-0.573524	0.114723	0.320882	0.024481	-0.787075	0.526259
-10.770436	-0.574024	0.114823	0.321848	0.025681	-0.785988	0.527235
-10.770236	-0.574524	0.114923	0.322811	0.026885	-0.784899	0.528208
-10.770036	-0.575024	0.115023	0.323770	0.028093	-0.783806	0.529180
-10.769836	-0.575524	0.115123	0.324724	0.029303	-0.782711	0.530150
-10.769636	-0.576024	0.115223	0.325674	0.030517	-0.781613	0.531118
-10.769436	-0.576524	0.115323	0.326620	0.031733	-0.780512	0.532084
-10.769237	-0.577024	0.115423	0.327561	0.032953	-0.779408	0.533048
-10.769037	-0.577524	0.115523	0.328499	0.034176	-0.778301	0.534011
-10.768837	-0.578024	0.115623	0.329432	0.035402	-0.777192	0.534971
-10.768637	-0.578524	0.115724	0.330361	0.036632	-0.776080	0.535929
-10.768437	-0.579024	0.115824	0.331286	0.037864	-0.774965	0.536885
