ax	ay	az
0.031640	-0.017500	-0.031326
0.034200	-0.017014	-0.023508
0.032778	-0.016965	-0.031632
0.034434	-0.017162	-0.023012
0.033366	-0.017631	-0.031429
0.032773	-0.017435	-0.027825
0.033549	-0.018140	-0.027724
0.033509	-0.016835	-0.023403
0.033912	-0.018169	-0.031446
0.034245	-0.017677	-0.023972
0.033021	-0.018687	-0.032292
0.034696	-0.016618	-0.027368
0.033759	-0.018923	-0.023910
0.033963	-0.018140	-0.032699
0.034522	-0.017607	-0.027354
0.034256	-0.018961	-0.028492
0.033642	-0.018316	-0.023960
0.035099	-0.018892	-0.031927
0.034087	-0.017952	-0.029023
0.034002	-0.019093	-0.023496
0.034702	-0.018531	-0.028764
0.036260	-0.018815	-0.032284
0.032980	-0.018919	-0.028725
0.035240	-0.018954	-0.024933
0.035170	-0.019630	-0.027934
0.034706	-0.018409	-0.033430
0.034848	-0.019956	-0.019451
0.035740	-0.019649	-0.038199
0.034238	-0.018739	-0.019857
0.035659	-0.019676	-0.033302
0.034956	-0.019735	-0.029100
0.035380	-0.020271	-0.024717
0.036489	-0.019399	-0.037150
0.035144	-0.019867	-0.021393
0.035252	-0.020241	-0.032938
0.035877	-0.019832	-0.024984
0.035131	-0.020140	-0.029609
0.035473	-0.020965	-0.029185
0.037552	-0.020111	-0.033461
0.034545	-0.020305	-0.021678
0.036271	-0.020333	-0.029337
0.036826	-0.021095	-0.033528
0.035242	-0.020738	-0.029933
0.036102	-0.021204	-0.025437
0.037047	-0.020085	-0.029918
0.036862	-0.021475	-0.033749
0.033691	-0.021933	-0.021565
0.039721	-0.020341	-0.033976
0.034387	-0.021506	-0.026020
0.038106	-0.021548	-0.034234
0.035390	-0.021759	-0.026274
0.037802	-0.021242	-0.029783
0.035753	-0.022296	-0.026225
0.037861	-0.021629	-0.038380
0.036852	-0.021608	-0.022072
0.035539	-0.022691	-0.026951
0.039002	-0.021783	-0.037950
0.036894	-0.022064	-0.026627
0.036563	-0.022673	-0.026435
0.037892	-0.022083	-0.034926
0.037253	-0.023170	-0.026474
0.036545	-0.022185	-0.030119
0.037958	-0.022955	-0.027544
0.038056	-0.023407	-0.034502
0.037666	-0.021836	-0.026627
0.037347	-0.023494	-0.031080
0.037754	-0.023778	-0.027227
0.037874	-0.022998	-0.035127
0.037740	-0.023065	-0.027153
0.037461	-0.023853	-0.026698
0.039655	-0.023734	-0.039407
0.037183	-0.022863	-0.023144
0.037946	-0.024158	-0.031521
0.038126	-0.024388	-0.027182
0.038807	-0.024015	-0.035690
0.038114	-0.023747	-0.027225
0.038273	-0.024434	-0.027344
0.037670	-0.024557	-0.036242
0.040252	-0.024564	-0.031502
0.037971	-0.023484	-0.023518
0.038288	-0.025819	-0.035641
0.038976	-0.024213	-0.027942
0.039076	-0.025528	-0.031694
0.038905	-0.024027	-0.032271
0.038242	-0.026203	-0.027804
0.039118	-0.024732	-0.031904
0.039049	-0.024999	-0.028224
0.038969	-0.026210	-0.032199
0.040432	-0.024961	-0.032059
0.037705	-0.026147	-0.032158
0.039261	-0.026063	-0.028461
0.041267	-0.025147	-0.032397
0.036810	-0.026918	-0.028058
0.041343	-0.024989	-0.032509
0.038852	-0.026698	-0.028859
0.040226	-0.026710	-0.032684
0.038281	-0.026593	-0.027811
0.040868	-0.026439	-0.037399
0.039964	-0.026416	-0.028182
0.038441	-0.027361	-0.029295
0.040710	-0.026842	-0.036575
0.041311	-0.026906	-0.028933
0.038055	-0.027097	-0.028555
0.041123	-0.027473	-0.028918
0.039095	-0.027145	-0.033513
0.041682	-0.027660	-0.037155
0.039505	-0.028034	-0.024672
0.039797	-0.027991	-0.033504
0.040189	-0.027618	-0.028759
0.041014	-0.027870	-0.033686
0.039905	-0.028121	-0.032752
0.040961	-0.028832	-0.030378
0.041075	-0.027701	-0.028490
0.040252	-0.028974	-0.034036
0.040830	-0.028219	-0.032811
0.040811	-0.029485	-0.033922
0.040047	-0.028308	-0.025900
0.041968	-0.028726	-0.033432
0.039884	-0.030343	-0.033550
0.040832	-0.028424	-0.030335
